participant_id,task,input_type,input_value,timestamp,task_completion_time_in_ms
4,A,button_clicked,1,2021-05-23 20:15:17.815935,
4,A,button_clicked,5,2021-05-23 20:15:18.296149,
4,A,button_clicked,+,2021-05-23 20:15:18.975885,
4,A,button_clicked,1,2021-05-23 20:15:19.630327,
4,A,button_clicked,6,2021-05-23 20:15:20.320631,
4,A,button_clicked,+,2021-05-23 20:15:20.792600,
4,A,button_clicked,1,2021-05-23 20:15:21.424844,
4,A,button_clicked,7,2021-05-23 20:15:22.032700,
4,A,button_clicked,+,2021-05-23 20:15:22.920308,
4,A,button_clicked,1,2021-05-23 20:15:23.528392,
4,A,button_clicked,8,2021-05-23 20:15:24.952339,
4,A,button_clicked,+,2021-05-23 20:15:26.824731,
4,A,button_clicked,1,2021-05-23 20:15:27.664078,
4,A,button_clicked,9,2021-05-23 20:15:29.136642,
4,A,button_clicked,+,2021-05-23 20:15:29.920541,
4,A,button_clicked,2,2021-05-23 20:15:30.421117,
